"DAMAGE:0","DAMAGE:1","DAMAGE:2","sigma:0","sigma:1","sigma:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0011813,0.00025258,0,405.79,1041.1,1.8289,1,0.064891,0.5,0.065732,0
0.0011813,0.00025634,0,404.53,1037.8,2.0695,1,0.065889,0.5,0.06673,0
0.0011814,0.00026008,0,404.53,1037.8,2.0695,1,0.066887,0.5,0.067728,0
0.0011814,0.00026381,0,404.48,1037.3,2.0645,1,0.067886,0.5,0.068727,0
0.0011814,0.00026755,0,404.39,1036.5,2.0559,1,0.068884,0.5,0.069725,0
0.0011814,0.00027128,0,404.3,1035.8,2.0475,1,0.069882,0.5,0.070723,0
0.0011815,0.00027502,0,404.28,1035.7,2.0567,1,0.070881,0.5,0.071722,0
0.0011815,0.00027875,0,404.19,1035.6,2.0898,1,0.071879,0.5,0.07272,0
0.0011815,0.00028248,0,404.11,1035.4,2.1229,1,0.072877,0.5,0.073718,0
0.0011816,0.00028621,0,404.03,1035.3,2.1532,1,0.073876,0.5,0.074717,0
0.0011816,0.00028994,0,404.03,1035.3,2.1532,1,0.074874,0.5,0.075715,0
0.0011816,0.00029366,0,404.9,1034.3,2.3845,1,0.075872,0.5,0.076713,0
0.0011817,0.00029738,0,405.78,1033.4,2.6191,1,0.07687,0.5,0.077711,0
0.0011817,0.0003011,0,406.4,1032.7,2.7844,1,0.077869,0.5,0.07871,0
0.0011818,0.00030481,0,406.4,1032.7,2.7844,1,0.078867,0.5,0.079708,0
0.0011818,0.00030851,0,405.15,1029.8,2.8809,1,0.079865,0.5,0.080706,0
0.0011819,0.0003122,0,402.87,1024.5,3.0583,1,0.080864,0.5,0.081705,0
0.0011819,0.00031589,0,400.72,1019.5,3.2249,1,0.081862,0.5,0.082703,0
0.001182,0.00031956,0,400.72,1019.5,3.2249,1,0.08286,0.5,0.083701,0
0.001182,0.00032322,0,400.72,1019.5,3.2249,1,0.083859,0.5,0.0847,0
0.0011821,0.00032689,0,400.82,1019.6,3.1873,1,0.084857,0.5,0.085698,0
0.0011821,0.00033056,0,402.01,1020.6,2.7396,1,0.085855,0.5,0.086696,0
0.0011822,0.00033425,0,403.7,1022.9,2.9466,1,0.086854,0.5,0.087695,0
0.0011822,0.00033792,0,403.61,1021.6,3.2532,1,0.087852,0.5,0.088693,0
0.0011823,0.00034156,0,401.37,1015.5,2.6318,1,0.08885,0.5,0.089691,0
0.0011823,0.0003452,0,399.14,1009.5,2.0104,1,0.089849,0.5,0.09069,0
0.0011824,0.00034883,0,398.93,1008,2.5777,1,0.090847,0.5,0.091688,0
0.0011824,0.00035246,0,399.3,1008.8,3.3987,1,0.091845,0.5,0.092686,0
0.0011825,0.0003561,0,399.66,1009.5,4.2197,1,0.092844,0.5,0.093685,0
0.0011825,0.00035973,0,400.03,1010.2,5.0403,1,0.093842,0.5,0.094683,0
0.0011826,0.00036336,0,400.39,1010.9,5.86,1,0.09484,0.5,0.095681,0
0.0011826,0.00036701,0,402.27,1013.9,6.9321,1,0.095839,0.5,0.09668,0
0.0011827,0.00037063,0,400.67,1009.1,7.3643,1,0.096837,0.5,0.097678,0
0.0011828,0.00037425,0,398.49,1003.2,7.128,1,0.097835,0.5,0.098676,0
0.0011828,0.00037788,0,396.31,997.26,6.8918,1,0.098833,0.5,0.099674,0
0.0011829,0.00038143,0,398.28,1001.4,8.2413,1,0.099832,0.5,0.10067,0
0.001183,0.000385,0,399.74,1004.4,8.7726,1,0.10083,0.5,0.10167,0
0.0011831,0.0003886,0,399.74,1004.4,8.7726,1,0.10183,0.5,0.10267,0
0.0011831,0.00039221,0,399.74,1004.4,8.7726,1,0.10283,0.5,0.10367,0
0.0011832,0.00039581,0,399.74,1004.4,8.7726,1,0.10383,0.5,0.10467,0
0.0011833,0.00039941,0,399.17,1003,8.8731,1,0.10482,0.5,0.10566,0
0.0011834,0.00040297,0,395.89,995.17,9.4474,1,0.10582,0.5,0.10666,0
0.0011834,0.00040653,0,392.62,987.32,10.022,1,0.10682,0.5,0.10766,0
0.0011835,0.00041008,0,390.46,982.16,10.399,1,0.10782,0.5,0.10866,0
0.0011836,0.00041361,0,390.76,982.48,10.269,1,0.10882,0.5,0.10966,0
0.0011837,0.00041715,0,392.61,984.44,9.4501,1,0.10981,0.5,0.11066,0
0.0011838,0.00042069,0,394.47,986.41,8.6312,1,0.11081,0.5,0.11165,0
0.0011839,0.00042422,0,396.32,988.38,7.8123,1,0.11181,0.5,0.11265,0
0.001184,0.00042776,0,398.18,990.35,6.9934,1,0.11281,0.5,0.11365,0
0.0011841,0.00043128,0,397.02,986.67,6.9332,1,0.11381,0.5,0.11465,0
0.0011842,0.00043479,0,393.91,979.03,7.2875,1,0.11481,0.5,0.11565,0
0.0011842,0.0004383,0,390.8,971.38,7.6418,1,0.1158,0.5,0.11665,0
0.0011843,0.00044179,0,389.81,968.97,7.7537,1,0.1168,0.5,0.11764,0
0.0011844,0.00044525,0,389.81,968.97,7.7537,1,0.1178,0.5,0.11864,0
0.0011845,0.00044873,0,389.87,969.14,7.9535,1,0.1188,0.5,0.11964,0
0.0011847,0.00045222,0,390.17,970.2,9.1279,1,0.1198,0.5,0.12064,0
0.0011847,0.00045572,0,391.02,972.15,10.693,1,0.1208,0.5,0.12164,0
0.0011848,0.00045925,0,393.62,976.92,13.491,1,0.12179,0.5,0.12264,0
0.0011849,0.00046269,0,391,968.97,12.81,1,0.12279,0.5,0.12363,0
0.0011851,0.00046612,0,389.16,963.39,12.77,1,0.12379,0.5,0.12463,0
0.0011852,0.00046955,0,388.71,961.91,13.845,1,0.12479,0.5,0.12563,0
